jogador,time,posicao,Minutos,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Key_Pass,Passing 1/3,Cross,Dribles_Tentados,Dribles_certos,%Dribles,Acoes Ofensivas
Mathys Tel,Tottenham,FW,911,3.0,2.5,1,1,28,21,14,12,35,52,15,28.8% (15/52),49
Pape Matar Sarr,Tottenham,MF,1913,3.7,1.6,3,2,33,88,15,85,14,30,11,36.7% (11/30),121
Rodrigo Bentancur,Tottenham,MF,1645,1.3,0.4,2,0,28,100,10,109,4,19,9,47.4% (9/19),128
Son Heung-min,Tottenham,FW,2110,7.2,8.2,6,9,96,111,50,41,79,83,29,34.9% (29/83),207
Wilson Odobert,Tottenham,"FW,MF",850,1.6,1.0,1,0,45,27,6,11,25,32,12,37.5% (12/32),72
Yves Bissouma,Tottenham,MF,1408,0.6,0.3,2,0,15,75,6,61,2,21,7,33.3% (7/21),90
Carlos Soler,West Ham,"MF,FW",1409,1.8,1.4,1,1,17,56,18,43,34,18,8,44.4% (8/18),73
Crysencio Summerville,West Ham,"FW,MF",786,1.6,1.7,1,1,29,18,17,13,21,39,13,33.3% (13/39),47
Edson Álvarez,West Ham,MF,1772,0.4,0.8,0,1,24,85,12,92,6,33,14,42.4% (14/33),109
Guido Rodríguez,West Ham,MF,1149,0.2,0.2,0,1,4,33,4,37,5,6,3,50.0% (3/6),37
James Ward-Prowse,West Ham,MF,1039,1.6,1.9,1,1,11,54,20,76,49,5,2,40.0% (2/5),65
Jarrod Bowen,West Ham,"FW,MF",2973,8.6,6.8,12,8,109,91,51,41,106,130,44,33.8% (44/130),200
Lucas Paquetá,West Ham,"MF,FW",2380,5.3,3.1,2,0,26,155,36,132,29,47,21,44.7% (21/47),181
Michail Antonio,West Ham,FW,836,2.2,1.6,1,1,29,18,9,11,25,27,9,33.3% (9/27),47
Mohammed Kudus,West Ham,"FW,MF",2590,6.9,3.1,5,3,98,79,31,46,81,208,92,44.2% (92/208),177
Niclas Füllkrug,West Ham,FW,790,2.2,1.9,3,2,7,14,14,12,1,8,1,12.5% (1/8),21
Tomáš Souček,West Ham,MF,2567,6.7,1.0,9,1,9,74,14,62,14,12,6,50.0% (6/12),83
André,Wolves,MF,2472,0.4,0.8,0,0,10,109,18,111,0,32,16,50.0% (16/32),119
Gonçalo Guedes,Wolves,"MF,FW",995,3.2,1.3,2,4,41,40,14,18,22,28,9,32.1% (9/28),81
Hwang Hee-chan,Wolves,"MF,FW",661,0.8,0.1,2,0,15,12,3,7,8,14,2,14.3% (2/14),27
Jean-Ricner Bellegarde,Wolves,"MF,FW",1677,1.5,3.8,2,7,52,43,27,30,44,61,14,23.0% (14/61),95
João Gomes,Wolves,MF,2974,2.9,1.2,3,1,59,165,23,122,29,65,30,46.2% (30/65),224
Jørgen Strand Larsen,Wolves,FW,2587,10.3,3.0,14,4,17,29,21,19,6,20,8,40.0% (8/20),46
Marshall Munetsi,Wolves,"MF,FW",1078,3.3,1.8,2,1,9,10,9,7,10,11,3,27.3% (3/11),19
Matheus Cunha,Wolves,"MF,FW",2597,8.6,7.7,15,6,112,144,56,92,142,137,61,44.5% (61/137),256
Pablo Sarabia,Wolves,"MF,FW",814,2.9,1.8,3,2,15,60,15,39,47,15,6,40.0% (6/15),75
Ander Guevara,Alavés,MF,1947,0.9,0.6,0,1,14,112,12,95,5,15,9,60.0% (9/15),126
Antonio Blanco,Alavés,MF,2727,0.8,1.6,0,1,13,146,15,142,29,21,15,71.4% (15/21),159
