jogador,time,posicao,idade,Minutos,Prgc,PrgP,Amarelo,Vermelho,2 Amarelo,Falta Cometida,interceptacao,recuperacoes,Duelos Aereoes W,Duelos Aereoes L,Duelos Aereoes W%,Divididas Total,Divididas Ganhas,Clearence,Erros
Mario Martín,Valladolid,MF,20,1748,18,66,8,3,1,50,21,83,31,34,47.7,62,32,46,7
Selim Amallah,Valladolid,MF,27,1376,24,57,6,0,0,32,14,73,5,16,23.8,30,18,5,1
Stanko Jurić,Valladolid,MF,27,1729,5,57,7,1,1,38,24,92,50,22,69.4,48,24,52,0
Daniel Parejo,Villarreal,MF,35,2273,19,176,8,0,0,20,24,142,24,9,72.7,52,40,40,1
Denis Suárez,Villarreal,MF,30,608,27,35,0,0,0,1,3,25,1,6,14.3,12,8,3,0
Pape Gueye,Villarreal,MF,25,2224,36,156,6,2,1,31,27,126,31,23,57.4,54,26,53,2
Santi Comesaña,Villarreal,MF,27,2560,39,154,7,0,0,37,19,160,32,49,39.5,85,49,56,1
Haris Belkebla,Angers,MF,30,1792,8,69,1,0,0,18,35,90,8,21,27.6,56,38,46,1
Jean-Eudes Aholou,Angers,MF,30,1959,15,68,7,0,0,50,33,100,38,23,62.3,56,36,32,0
Yassin Belkhdim,Angers,MF,22,1523,17,37,4,0,0,28,21,74,5,15,25.0,53,27,41,1
Assane Dioussé,Auxerre,MF,26,663,1,33,1,0,0,18,12,41,1,3,25.0,15,7,15,0
Elisha Owusu,Auxerre,MF,26,2344,8,78,7,0,0,49,42,154,16,26,38.1,73,41,35,1
Hamed Junior Traorè,Auxerre,MF,24,2093,66,99,5,0,0,30,8,100,12,20,37.5,41,20,11,0
Han-Noah Massengo,Auxerre,MF,23,1046,13,28,5,0,0,17,17,57,7,11,38.9,17,11,10,2
Kévin Danois,Auxerre,MF,20,1460,19,95,1,0,0,22,20,102,14,18,43.8,49,30,20,0
Hugo Magnetti,Brest,MF,26,2323,21,80,5,0,0,29,18,111,10,10,50.0,52,32,37,0
Pierre Lees-Melou,Brest,MF,31,1526,23,105,7,0,0,32,12,125,4,7,36.4,48,33,23,0
Abdoulaye Touré,Le Havre,MF,30,2324,17,109,5,0,0,30,34,160,30,19,61.2,61,34,42,5
Junior Mwanga,Le Havre,MF,21,952,15,42,1,1,0,19,8,61,9,7,56.3,26,16,18,2
Oussama Targhalline,Le Havre,MF,22,990,25,66,0,0,0,11,19,43,8,6,57.1,19,14,14,2
Rassoul Ndiaye,Le Havre,MF,22,1061,6,46,2,0,0,12,12,66,13,21,38.2,35,25,24,0
Adrien Thomasson,Lens,MF,30,2615,30,149,7,0,0,51,19,206,17,45,27.4,90,47,28,2
Andy Diouf,Lens,MF,21,2225,82,116,2,0,0,43,15,154,18,31,36.7,37,26,18,2
Neil El Aynaoui,Lens,MF,23,1588,11,75,4,0,0,34,30,90,24,15,61.5,39,21,29,0
André Gomes,Lille,MF,31,1276,18,101,3,0,0,24,6,92,9,7,56.3,27,13,11,2
Angel Gomes,Lille,MF,23,736,15,49,1,0,0,4,0,20,5,6,45.5,10,6,2,0
Ayyoub Bouaddi,Lille,MF,16,1151,11,37,2,0,0,18,10,62,9,9,50.0,50,31,12,1
Benjamin André,Lille,MF,33,2692,29,209,12,0,0,50,48,189,94,82,53.4,103,57,56,0
Ngal'Ayel Mukau,Lille,MF,19,1190,19,57,4,0,0,19,15,63,14,14,50.0,33,18,22,0
Corentin Tolisso,Lyon,MF,29,2329,31,166,4,0,0,44,22,128,54,58,48.2,57,25,41,1
Jordan Veretout,Lyon,MF,31,1553,35,99,3,0,0,23,5,88,12,15,44.4,30,14,23,1
Nemanja Matić,Lyon,MF,35,2010,35,150,1,0,0,13,18,125,15,13,53.6,42,29,31,1
Tanner Tessmann,Lyon,MF,22,1234,11,56,3,0,0,14,19,63,4,19,17.4,25,15,29,1
Adrien Rabiot,Marseille,MF,29,2485,79,168,4,0,0,53,21,124,34,26,56.7,49,31,32,0
Ismaël Bennacer,Marseille,MF,26,646,14,72,2,0,0,19,10,50,2,4,33.3,21,10,2,1
Pierre Højbjerg,Marseille,MF,28,2664,36,263,5,0,0,30,42,171,21,18,53.8,64,45,33,2
Denis Zakaria,Monaco,MF,27,2144,27,113,5,0,0,32,34,165,18,12,60.0,41,26,39,1
Lamine Camara,Monaco,MF,20,2054,25,141,10,1,1,45,31,153,21,21,50.0,66,41,32,1
Soungoutou Magassa,Monaco,MF,20,1025,6,63,5,1,0,28,21,90,13,21,38.2,47,25,19,1
Jordan Ferri,Montpellier,MF,32,1773,19,137,6,1,0,35,9,132,13,15,46.4,42,23,20,0
Joris Chotard,Montpellier,MF,22,1892,20,80,5,0,0,16,19,90,16,11,59.3,39,27,52,1
Rabby Nzingoula,Montpellier,MF,18,1689,25,40,11,0,0,37,29,99,17,20,45.9,64,42,23,0
Téji Savanier,Montpellier,MF,32,2363,26,183,4,1,0,22,15,117,18,23,43.9,29,25,21,4
Douglas,Nantes,MF,27,2307,14,125,8,0,0,42,32,111,23,35,39.7,69,42,47,0
