jogador,time,posicao,Minutos,PrgR,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Aerial Duels ,Acoes Ofensivas
Jarrod Bowen,West Ham,"FW,MF",2973,212,8.6,6.8,12,8,109,91,20.0,12,48,20.0% (12/48),200
Lucas Paquetá,West Ham,"MF,FW",2380,85,5.3,3.1,2,0,26,155,45.7,48,57,45.7% (48/57),181
Michail Antonio,West Ham,FW,836,59,2.2,1.6,1,1,29,18,43.6,17,22,43.6% (17/22),47
Mohammed Kudus,West Ham,"FW,MF",2590,216,6.9,3.1,5,3,98,79,21.6,11,40,21.6% (11/40),177
Niclas Füllkrug,West Ham,FW,790,31,2.2,1.9,3,2,7,14,42.9,39,52,42.9% (39/52),21
Tomáš Souček,West Ham,MF,2567,68,6.7,1.0,9,1,9,74,57.6,99,73,57.6% (99/73),83
André,Wolves,MF,2472,11,0.4,0.8,0,0,10,109,25.0,2,6,25.0% (2/6),119
Gonçalo Guedes,Wolves,"MF,FW",995,79,3.2,1.3,2,4,41,40,27.8,5,13,27.8% (5/13),81
Hwang Hee-chan,Wolves,"MF,FW",661,42,0.8,0.1,2,0,15,12,25.0,3,9,25.0% (3/9),27
Jean-Ricner Bellegarde,Wolves,"MF,FW",1677,89,1.5,3.8,2,7,52,43,34.5,10,19,34.5% (10/19),95
João Gomes,Wolves,MF,2974,76,2.9,1.2,3,1,59,165,29.7,11,26,29.7% (11/26),224
Jørgen Strand Larsen,Wolves,FW,2587,112,10.3,3.0,14,4,17,29,40.1,67,100,40.1% (67/100),46
Marshall Munetsi,Wolves,"MF,FW",1078,35,3.3,1.8,2,1,9,10,55.8,29,23,55.8% (29/23),19
Matheus Cunha,Wolves,"MF,FW",2597,161,8.6,7.7,15,6,112,144,31.0,13,29,31.0% (13/29),256
Pablo Sarabia,Wolves,"MF,FW",814,62,2.9,1.8,3,2,15,60,26.3,5,14,26.3% (5/14),75
Ander Guevara,Alavés,MF,1947,19,0.9,0.6,0,1,14,112,43.5,30,39,43.5% (30/39),126
Antonio Blanco,Alavés,MF,2727,19,0.8,1.6,0,1,13,146,44.4,28,35,44.4% (28/35),159
Carles Aleñá,Alavés,"MF,FW",1090,43,0.7,1.3,0,2,18,58,60.0,9,6,60.0% (9/6),76
Carlos Martín,Alavés,"FW,MF",1333,67,2.3,2.7,2,2,13,21,44.1,15,19,44.1% (15/19),34
Carlos Vicente,Alavés,"FW,MF",3092,226,3.5,5.4,4,5,104,68,36.2,34,60,36.2% (34/60),172
Joan Jordán,Alavés,MF,1414,35,4.8,2.3,2,2,7,104,55.2,16,13,55.2% (16/13),111
